FID	IID	AGE	SEX
HG00096	HG00096	53	2
HG00097	HG00097	74	2
HG00099	HG00099	75	2
HG00100	HG00100	74	1
HG00101	HG00101	45	2
HG00102	HG00102	51	2
HG00103	HG00103	68	1
HG00105	HG00105	64	2
HG00106	HG00106	74	2
HG00107	HG00107	65	2
HG00108	HG00108	53	1
HG00109	HG00109	23	2
HG00110	HG00110	65	1
HG00111	HG00111	26	1
HG00112	HG00112	34	2
HG00113	HG00113	68	2
HG00114	HG00114	26	1
HG00115	HG00115	20	2
HG00116	HG00116	60	2
HG00117	HG00117	31	1
HG00118	HG00118	58	1
HG00119	HG00119	38	2
HG00120	HG00120	29	2
HG00121	HG00121	23	2
HG00122	HG00122	28	1
HG00123	HG00123	22	2
HG00125	HG00125	37	1
HG00126	HG00126	66	1
HG00127	HG00127	19	1
HG00128	HG00128	76	2
HG00129	HG00129	36	2
HG00130	HG00130	59	2
HG00131	HG00131	31	2
HG00132	HG00132	42	2
HG00133	HG00133	39	2
HG00136	HG00136	63	2
HG00137	HG00137	51	2
HG00138	HG00138	59	2
HG00139	HG00139	80	2
HG00140	HG00140	58	2
HG00141	HG00141	79	2
HG00142	HG00142	47	2
HG00143	HG00143	34	1
HG00145	HG00145	46	1
HG00146	HG00146	77	2
HG00148	HG00148	73	1
HG00149	HG00149	33	1
HG00150	HG00150	30	2
HG00151	HG00151	80	2
HG00154	HG00154	33	2
HG00155	HG00155	23	2
HG00157	HG00157	21	2
HG00158	HG00158	60	2
HG00159	HG00159	35	2
HG00160	HG00160	63	1
HG00171	HG00171	79	1
HG00173	HG00173	30	2
HG00174	HG00174	79	1
HG00176	HG00176	49	2
HG00177	HG00177	74	1
HG00178	HG00178	62	1
HG00179	HG00179	23	2
HG00180	HG00180	33	1
HG00181	HG00181	71	1
HG00182	HG00182	39	2
HG00183	HG00183	72	1
HG00185	HG00185	39	2
HG00186	HG00186	56	2
HG00187	HG00187	61	2
HG00188	HG00188	39	2
HG00189	HG00189	78	1
HG00190	HG00190	53	1
HG00231	HG00231	79	1
HG00232	HG00232	44	2
HG00233	HG00233	37	1
HG00234	HG00234	75	2
HG00235	HG00235	29	1
HG00236	HG00236	33	1
HG00237	HG00237	24	2
HG00238	HG00238	50	1
HG00239	HG00239	45	1
HG00240	HG00240	53	1
HG00242	HG00242	64	2
HG00243	HG00243	34	1
HG00244	HG00244	74	1
HG00245	HG00245	76	1
HG00246	HG00246	39	1
HG00250	HG00250	59	1
HG00251	HG00251	49	2
HG00252	HG00252	44	2
HG00253	HG00253	64	2
HG00254	HG00254	56	1
HG00255	HG00255	37	2
HG00256	HG00256	43	1
HG00257	HG00257	40	2
HG00258	HG00258	32	1
HG00259	HG00259	30	2
HG00260	HG00260	77	2
HG00261	HG00261	30	1
HG00262	HG00262	60	1
HG00263	HG00263	36	1
HG00264	HG00264	60	2
HG00265	HG00265	37	2
HG00266	HG00266	58	2
HG00267	HG00267	75	2
HG00268	HG00268	49	2
HG00269	HG00269	71	1
HG00271	HG00271	67	1
HG00272	HG00272	72	1
HG00273	HG00273	35	1
HG00274	HG00274	35	1
HG00275	HG00275	34	1
HG00276	HG00276	44	1
HG00277	HG00277	56	2
HG00278	HG00278	37	2
HG00280	HG00280	69	1
HG00281	HG00281	66	2
HG00282	HG00282	53	1
HG00284	HG00284	34	1
HG00285	HG00285	32	2
HG00288	HG00288	49	1
HG00290	HG00290	75	1
HG00304	HG00304	25	1
HG00306	HG00306	32	2
HG00308	HG00308	80	1
HG00309	HG00309	78	1
HG00310	HG00310	70	1
HG00311	HG00311	37	1
HG00313	HG00313	21	1
HG00315	HG00315	59	2
HG00318	HG00318	27	1
HG00319	HG00319	23	2
HG00320	HG00320	20	2
HG00321	HG00321	80	1
HG00323	HG00323	45	1
HG00324	HG00324	41	1
HG00325	HG00325	55	1
HG00326	HG00326	23	2
HG00327	HG00327	34	1
HG00328	HG00328	71	1
HG00329	HG00329	74	1
HG00330	HG00330	29	2
HG00331	HG00331	19	1
HG00332	HG00332	36	1
HG00334	HG00334	70	2
HG00335	HG00335	24	1
HG00336	HG00336	42	2
HG00337	HG00337	54	1
HG00338	HG00338	49	1
HG00339	HG00339	59	1
HG00341	HG00341	42	2
HG00342	HG00342	41	2
HG00343	HG00343	39	1
HG00344	HG00344	62	1
HG00345	HG00345	31	2
HG00346	HG00346	73	2
HG00349	HG00349	46	1
HG00350	HG00350	31	1
HG00351	HG00351	21	2
HG00353	HG00353	59	1
HG00355	HG00355	76	2
HG00356	HG00356	72	1
HG00357	HG00357	70	1
HG00358	HG00358	67	1
HG00360	HG00360	77	1
HG00361	HG00361	66	1
HG00362	HG00362	30	2
HG00364	HG00364	60	2
HG00365	HG00365	34	2
HG00366	HG00366	76	2
HG00367	HG00367	72	2
HG00368	HG00368	35	1
HG00369	HG00369	67	2
HG00371	HG00371	40	1
HG00372	HG00372	60	2
HG00373	HG00373	33	1
HG00375	HG00375	64	2
HG00376	HG00376	18	1
HG00378	HG00378	37	1
HG00379	HG00379	45	1
HG00380	HG00380	46	1
HG00381	HG00381	68	2
HG00382	HG00382	37	2
HG00383	HG00383	66	1
HG00384	HG00384	27	1
HG01334	HG01334	29	1
HG01500	HG01500	21	1
HG01501	HG01501	23	1
HG01503	HG01503	35	1
HG01504	HG01504	76	1
HG01506	HG01506	27	1
HG01507	HG01507	33	1
HG01509	HG01509	45	1
HG01510	HG01510	37	1
HG01512	HG01512	60	2
HG01513	HG01513	34	2
HG01515	HG01515	58	2
HG01516	HG01516	58	1
HG01518	HG01518	38	2
HG01519	HG01519	56	1
HG01521	HG01521	31	1
HG01522	HG01522	34	1
HG01524	HG01524	80	2
HG01525	HG01525	66	1
HG01527	HG01527	68	2
HG01528	HG01528	57	1
HG01530	HG01530	52	1
HG01531	HG01531	56	1
HG01536	HG01536	46	2
HG01537	HG01537	64	1
HG01602	HG01602	74	2
HG01603	HG01603	77	2
HG01605	HG01605	64	2
HG01606	HG01606	40	1
HG01607	HG01607	70	1
HG01608	HG01608	48	1
HG01610	HG01610	37	1
HG01612	HG01612	25	1
HG01613	HG01613	63	1
HG01615	HG01615	54	2
HG01617	HG01617	67	2
HG01618	HG01618	21	1
HG01619	HG01619	40	2
HG01620	HG01620	76	2
HG01623	HG01623	60	1
HG01624	HG01624	29	1
HG01625	HG01625	70	1
HG01626	HG01626	61	1
HG01628	HG01628	62	1
HG01630	HG01630	61	1
HG01631	HG01631	40	1
HG01632	HG01632	20	1
HG01668	HG01668	29	1
HG01669	HG01669	28	2
HG01670	HG01670	57	2
HG01672	HG01672	20	2
HG01673	HG01673	23	1
HG01675	HG01675	45	1
HG01676	HG01676	32	2
HG01678	HG01678	52	2
HG01679	HG01679	29	1
HG01680	HG01680	38	2
HG01682	HG01682	24	2
HG01684	HG01684	28	1
HG01685	HG01685	44	2
HG01686	HG01686	78	1
HG01694	HG01694	39	1
HG01695	HG01695	68	2
HG01697	HG01697	32	2
HG01699	HG01699	71	1
HG01700	HG01700	49	2
HG01702	HG01702	21	1
HG01704	HG01704	20	2
HG01705	HG01705	67	2
HG01707	HG01707	49	1
HG01708	HG01708	22	1
HG01709	HG01709	47	2
HG01710	HG01710	61	1
HG01746	HG01746	49	2
HG01747	HG01747	54	2
HG01756	HG01756	54	1
HG01757	HG01757	58	1
HG01761	HG01761	61	1
HG01762	HG01762	22	2
HG01765	HG01765	46	2
HG01766	HG01766	30	1
HG01767	HG01767	44	1
HG01768	HG01768	42	1
HG01770	HG01770	62	1
HG01771	HG01771	68	1
HG01773	HG01773	58	1
HG01775	HG01775	27	2
HG01776	HG01776	72	2
HG01777	HG01777	53	2
HG01779	HG01779	29	2
HG01781	HG01781	28	1
HG01783	HG01783	23	2
HG01784	HG01784	54	2
HG01785	HG01785	79	1
HG01786	HG01786	30	1
HG01789	HG01789	45	2
HG01790	HG01790	28	1
HG01791	HG01791	27	2
HG02215	HG02215	67	2
HG02219	HG02219	28	1
HG02220	HG02220	27	2
HG02221	HG02221	51	2
HG02223	HG02223	59	2
HG02224	HG02224	25	1
HG02230	HG02230	77	1
HG02231	HG02231	67	1
HG02232	HG02232	65	2
HG02233	HG02233	38	1
HG02235	HG02235	72	2
HG02236	HG02236	52	1
HG02238	HG02238	51	1
HG02239	HG02239	43	1
NA20502	NA20502	43	2
NA20503	NA20503	62	1
NA20504	NA20504	49	1
NA20505	NA20505	29	1
NA20506	NA20506	36	1
NA20507	NA20507	71	1
NA20508	NA20508	46	1
NA20509	NA20509	78	2
NA20510	NA20510	33	2
NA20511	NA20511	26	2
NA20512	NA20512	41	1
NA20513	NA20513	69	2
NA20514	NA20514	57	1
NA20515	NA20515	44	1
NA20516	NA20516	41	2
NA20517	NA20517	41	2
NA20518	NA20518	75	2
NA20519	NA20519	59	2
NA20520	NA20520	27	1
NA20521	NA20521	53	1
NA20522	NA20522	76	2
NA20524	NA20524	65	2
NA20525	NA20525	72	2
NA20527	NA20527	56	2
NA20528	NA20528	43	2
NA20529	NA20529	23	1
NA20530	NA20530	41	2
NA20531	NA20531	43	1
NA20532	NA20532	40	1
NA20533	NA20533	54	2
NA20534	NA20534	44	1
NA20535	NA20535	68	1
NA20536	NA20536	35	1
NA20538	NA20538	19	2
NA20539	NA20539	60	2
NA20540	NA20540	45	2
NA20541	NA20541	33	2
NA20542	NA20542	23	1
NA20543	NA20543	34	1
NA20544	NA20544	73	2
NA20581	NA20581	79	2
NA20582	NA20582	42	1
NA20585	NA20585	71	2
NA20586	NA20586	49	2
NA20587	NA20587	53	2
NA20588	NA20588	48	1
NA20589	NA20589	33	2
NA20752	NA20752	68	1
NA20753	NA20753	42	2
NA20754	NA20754	23	1
NA20755	NA20755	40	1
NA20756	NA20756	29	1
NA20757	NA20757	48	1
NA20758	NA20758	63	1
NA20759	NA20759	54	1
NA20760	NA20760	36	2
NA20761	NA20761	78	2
NA20762	NA20762	37	2
NA20763	NA20763	47	2
NA20764	NA20764	60	1
NA20765	NA20765	51	1
NA20766	NA20766	21	1
NA20767	NA20767	50	2
NA20768	NA20768	23	2
NA20769	NA20769	39	2
NA20770	NA20770	43	1
NA20771	NA20771	60	1
NA20772	NA20772	64	2
NA20773	NA20773	75	2
NA20774	NA20774	60	2
NA20775	NA20775	70	1
NA20778	NA20778	34	2
NA20783	NA20783	42	2
NA20785	NA20785	50	1
NA20786	NA20786	45	1
NA20787	NA20787	55	1
NA20790	NA20790	63	1
NA20792	NA20792	32	2
NA20795	NA20795	69	2
NA20796	NA20796	78	2
NA20797	NA20797	74	2
NA20798	NA20798	23	1
NA20799	NA20799	44	2
NA20800	NA20800	66	1
NA20801	NA20801	52	1
NA20802	NA20802	26	2
NA20803	NA20803	48	1
NA20804	NA20804	23	1
NA20805	NA20805	73	1
NA20806	NA20806	70	2
NA20807	NA20807	53	2
NA20808	NA20808	32	2
NA20809	NA20809	54	2
NA20810	NA20810	21	1
NA20811	NA20811	43	2
NA20812	NA20812	53	1
NA20813	NA20813	41	1
NA20814	NA20814	37	1
NA20815	NA20815	70	2
NA20818	NA20818	31	2
NA20819	NA20819	71	1
NA20821	NA20821	77	1
NA20822	NA20822	24	2
NA20826	NA20826	18	1
NA20827	NA20827	43	1
NA20828	NA20828	68	1
NA20832	NA20832	44	1
